Invoice,InvoiceDate,Customer_ID,Country
489434,2009-12-01 07:45:00,13085.0,United Kingdom
489435,2009-12-01 07:46:00,13085.0,United Kingdom
489436,2009-12-01 09:06:00,13078.0,United Kingdom
489437,2009-12-01 09:08:00,15362.0,United Kingdom
489438,2009-12-01 09:24:00,18102.0,United Kingdom
489439,2009-12-01 09:28:00,12682.0,France
489440,2009-12-01 09:43:00,18087.0,United Kingdom
489441,2009-12-01 09:44:00,18087.0,United Kingdom
489442,2009-12-01 09:46:00,13635.0,United Kingdom
489443,2009-12-01 09:50:00,14110.0,United Kingdom
489444,2009-12-01 09:55:00,12636.0,USA
489445,2009-12-01 09:57:00,17519.0,United Kingdom
489446,2009-12-01 10:06:00,13758.0,United Kingdom
489447,2009-12-01 10:10:00,12362.0,Belgium
489448,2009-12-01 10:18:00,15413.0,United Kingdom
C489449,2009-12-01 10:33:00,16321.0,Australia
489450,2009-12-01 10:36:00,16321.0,Australia
C489459,2009-12-01 10:44:00,17592.0,United Kingdom
489460,2009-12-01 10:46:00,16167.0,United Kingdom
489461,2009-12-01 10:49:00,17865.0,United Kingdom
489462,2009-12-01 10:49:00,17592.0,United Kingdom
489465,2009-12-01 10:52:00,13767.0,United Kingdom
C489476,2009-12-01 10:55:00,13293.0,United Kingdom
489488,2009-12-01 10:59:00,17238.0,United Kingdom
C489503,2009-12-01 11:04:00,16011.0,United Kingdom
C489504,2009-12-01 11:10:00,13916.0,United Kingdom
489505,2009-12-01 11:17:00,15712.0,United Kingdom
489514,2009-12-01 11:21:00,15311.0,United Kingdom
489517,2009-12-01 11:34:00,16329.0,United Kingdom
C489518,2009-12-01 11:35:00,15461.0,United Kingdom
489519,2009-12-01 11:37:00,17700.0,United Kingdom
489520,2009-12-01 11:41:00,14911.0,EIRE
489522,2009-12-01 11:45:00,15998.0,United Kingdom
489523,2009-12-01 11:46:00,12931.0,United Kingdom
C489524,2009-12-01 11:48:00,15614.0,United Kingdom
489526,2009-12-01 11:50:00,12533.0,Germany
C489527,2009-12-01 11:50:00,16128.0,United Kingdom
C489528,2009-12-01 11:50:00,16714.0,United Kingdom
489529,2009-12-01 11:51:00,17984.0,United Kingdom
C489530,2009-12-01 11:56:00,14748.0,United Kingdom
489531,2009-12-01 11:57:00,14871.0,United Kingdom
489532,2009-12-01 11:58:00,13394.0,United Kingdom
489533,2009-12-01 12:02:00,16011.0,United Kingdom
C489534,2009-12-01 12:09:00,12615.0,France
C489535,2009-12-01 12:11:00,15299.0,United Kingdom
489536,2009-12-01 12:13:00,16393.0,United Kingdom
489537,2009-12-01 12:14:00,14040.0,United Kingdom
C489538,2009-12-01 12:18:00,15796.0,United Kingdom
489540,2009-12-01 12:18:00,12913.0,United Kingdom
